imgName,NDCMS,NAXIS1,NAXIS2,imgNoise,skNoise,aveImgS,dSdskip,pixVar,clustVar,tailRatio,DC,EXP,AMPL,HCKDRIN,VCKDRIN,ITGTIME,VIDGAIN,PRETIME,POSTIME,DGWIDTH,RGWIDTH,OGWIDTH,SWWIDTH,HWIDTH,HOWIDTH,VWIDTH,VOWIDTH,ONEVCKHI,ONEVCKLO,TWOVCKHI,TWOVCKLO,TGHI,TGLO,HUHI,HULO,HLHI,HLLO,RGHI,RGLO,SWLO,DGHI,DGLO,OGHI,OGLO,BATTR,VDD1,VDD2,DRAIN1,DRAIN2,VREF1,VREF2,OPG1,OPG2
Img_18.fits,4000,2400000,20,77.0795456488824,1.9 +/- 0.062,2.8280268650695186,-0.43 +/- 0.24,7272.1764041100105,1855229.4951670747,110.51034937132499,0 +/- 0,2.0,U,,,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-5.0,-5.0,2.21,2.21
Img_17.fits,4000,2400000,20,76.73292263750592,1.6 +/- inf,2.3472132663450584,-0.34 +/- 0.28,7271.312046468456,86970.55005285285,1307.7058008931274,0 +/- 0,2.0,U,,,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-5.5,-5.5,2.21,2.21
Img_09.fits,1,1200,1200,1017.8307633942749,-1 +/- -1,8.402149585900363,-1 +/- -1,-1.0,-1.0,1.1840394575492976,-1,2.0,U,,,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.25,-3.25,2.21,2.21
Img_01.fits,1,1200,1200,76.08690538601178,-1 +/- -1,5.7944203381794726,-1 +/- -1,-1.0,-1.0,66.15272302641715,-1,2.0,U,,,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-4.5,-4.5,2.21,2.21
Img_19.fits,4000,2400000,20,76.77828282812705,1.6 +/- 0.054,3.017344075008321,-0.19 +/- 0.11,7154.440540117483,1235137.0830010427,891.9763913534425,0.23 +/- 0.0069,2.0,U,,,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-4.0,-4.0,2.21,2.21
Img_20.fits,4000,2400000,20,77.03652055463738,1.6 +/- 0.05,3.13980762374158,-0.17 +/- 0.15,7151.376789758061,2509740.43933973,1507.6769092793709,0.27 +/- 0.0075,2.0,U,,,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.75,-3.75,2.21,2.21
Img_12.fits,1,1200,1200,115.64534478810025,42 +/- 68,6.41714285569873,-1 +/- -1,-1.0,-1.0,27.781073939164315,-1,2.0,U,,,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.45,-3.45,2.21,2.21
Img_22.fits,4000,2400000,20,155.0002710314876,2.9 +/- 0.057,2.716850003948568,0.095 +/- 0.15,23935.682053539276,23956.255655748082,15.78719276731572,0 +/- 0,2.0,U,,,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.0,-3.0,2.21,2.21
Img_10.fits,1,1200,1200,1012.234230544029,-1 +/- -1,8.358483565071474,-1 +/- -1,-1.0,-1.0,0.9866995479577609,-1,2.0,U,,,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,7.5,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-3.25,-3.25,2.21,2.21
Img_24.fits,4000,2400000,20,81.05441828913726,1.6 +/- 0.04,5.037683945385021,-0.49 +/- 0.24,7229.701320082253,16856710.957062073,17594.82633915893,0.7 +/- 0.063,2.0,U,,,2.2,1,0.4,0.24,0.24,0.12,0.48,0.12,0.5,0.5,7.8,7.8,8.0,4.5,8.0,4.5,8.0,4.0,6.5,3.3,6.5,3.3,7.0,-4.0,-8.0,2.0,-8.0,-1.75,-6.5,5.0,-22.0,-22.0,-22.0,-22.0,-4.5,-4.5,2.21,2.21
