imgName,NDCMS,NAXIS1,NAXIS2,imgNoise,skNoise,aveImgS,dSdskip,pixVar,clustVar,tailRatio,DC,EXP,AMPL,HCKDIRN,VCKDIRN,ITGTIME,VIDGAIN,PRETIME,POSTIME,DGWIDTH,RGWIDTH,OGWIDTH,SWWIDTH,HWIDTH,HOWIDTH,VWIDTH,VOWIDTH,ONEVCKHI,ONEVCKLO,TWOVCKHI,TWOVCKLO,TGHI,TGLO,HUHI,HULO,HLHI,HLLO,RGHI,RGLO,SWLO,DGHI,DGLO,OGHI,OGLO,BATTR,VDD1,VDD2,DRAIN1,DRAIN2,VREF1,VREF2,OPG1,OPG2
Img_14.fits,1,1200,500,2.250824602071382,2.2 +/- 0.077,2.39006280787977,-1 +/- -1,-1.0,-1.0,577.7060073342287,-1,5.0,U,U,12,1.0,-1,0.5,0.5,-1,-1,-1,-1,-1,-1,-1,-1,6.5,3.0,6.5,3.0,6.5,3.0,5.0,1.0,5.0,1.0,4.0,-5.0,-6.0,5.0,-4.0,3.0,-3.0,4.88,-1,-1,-1,-1,-1,-1,-1,-1
Img_48.fits,1,2400,500,49.38287241326382,5.1 +/- 0.25,3.46421479529182,-1 +/- -1,-1.0,-1.0,91.90777389377327,-1,5.0,UL,U,12,10.0,-1,2.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,6.5,3.0,6.5,3.0,6.5,3.0,5.0,1.0,5.0,1.0,0.0,-5.0,-4.0,5.0,-4.0,2.0,-2.0,4.88,-1,-1,-1,-1,-1,-1,-1,-1
Img_22.fits,1,2400,500,36.16833891926326,2.7 +/- 0.15,3.1370694439788083,-1 +/- -1,-1.0,-1.0,112.036444672124,-1,5.0,UL,U,12,2.0,-1,2.5,1.0,-1,-1,-1,-1,-1,-1,-1,-1,6.5,3.0,6.5,3.0,6.5,3.0,5.0,1.0,5.0,1.0,0.0,-5.0,-4.0,5.0,-4.0,2.0,-2.0,4.88,-1,-1,-1,-1,-1,-1,-1,-1
Img_59.fits,1,2400,500,53.25588673982576,27 +/- 16,3.3665435759044513,-1 +/- -1,-1.0,-1.0,87.27686401536666,-1,5.0,UL,U,12,10.0,-1,2.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,6.5,3.0,6.5,3.0,6.5,3.0,5.0,1.0,5.0,1.0,0.0,-5.0,-4.0,5.0,-4.0,2.0,-2.0,4.88,-1,-1,-1,-1,-1,-1,-1,-1
Img_23.fits,1,1200,500,2.6352182283180894,2.8 +/- 0.079,2.520007623407157,-1 +/- -1,-1.0,-1.0,494.0865096408694,-1,5.0,U,U,12,2.0,-1,2.5,1.0,-1,-1,-1,-1,-1,-1,-1,-1,6.5,3.0,6.5,3.0,6.5,3.0,5.0,1.0,5.0,1.0,0.0,-5.0,-4.0,5.0,-4.0,2.0,-2.0,4.88,-1,-1,-1,-1,-1,-1,-1,-1
Img_61.fits,1,2400,500,53.513137301292424,4.1 +/- 0.15,3.412784072517759,-1 +/- -1,-1.0,-1.0,170.84373773037004,-1,5.0,UL,U,12,10.0,-1,2.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,6.5,3.0,6.5,3.0,6.5,3.0,5.0,1.0,5.0,1.0,0.0,-5.0,-4.0,5.0,-4.0,2.0,-2.0,4.88,-1,-1,-1,-1,-1,-1,-1,-1
Img_56.fits,1,2400,500,53.396268269506905,4.1 +/- 0.15,3.36189746862927,-1 +/- -1,-1.0,-1.0,86.82956022027008,-1,5.0,UL,U,12,10.0,-1,2.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,6.5,3.0,6.5,3.0,6.5,3.0,5.0,1.0,5.0,1.0,0.0,-5.0,-4.0,5.0,-4.0,2.0,-2.0,4.88,-1,-1,-1,-1,-1,-1,-1,-1
Img_44.fits,1,2400,500,53.515960214907174,5.3 +/- 0.25,3.4451410525514348,-1 +/- -1,-1.0,-1.0,173.92224032002787,-1,5.0,UL,U,12,10.0,-1,2.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,6.5,3.0,6.5,3.0,6.5,3.0,5.0,1.0,5.0,1.0,0.0,-5.0,-4.0,5.0,-4.0,2.0,-2.0,4.88,-1,-1,-1,-1,-1,-1,-1,-1
Img_52.fits,1,2400,500,53.49375200253991,3.7 +/- 0.13,3.3642056068899304,-1 +/- -1,-1.0,-1.0,45.96704294086174,-1,5.0,UL,U,12,10.0,-1,2.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,6.5,3.0,6.5,3.0,6.5,3.0,5.0,1.0,5.0,1.0,0.0,-5.0,-4.0,5.0,-4.0,2.0,-2.0,4.88,-1,-1,-1,-1,-1,-1,-1,-1
Img_47.fits,1,2400,500,53.62715092942398,5.1 +/- 0.26,3.378923856835133,-1 +/- -1,-1.0,-1.0,91.93408588171054,-1,5.0,UL,U,12,10.0,-1,2.0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,6.5,3.0,6.5,3.0,6.5,3.0,5.0,1.0,5.0,1.0,0.0,-5.0,-4.0,5.0,-4.0,2.0,-2.0,4.88,-1,-1,-1,-1,-1,-1,-1,-1
